id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed,hash_result,difference
44e396ad-d125-4682-98e7-e5167cde6742,1726557263864,109,1726557262427,1,0,2a90a830b1345e2e1c3661d6d186fc7a744edae844963e244d0604cf9fc571ea,123,-14
ca67268e-5fd8-4a83-b35f-2532f09247df,1726557255238,225,1726557241722,1,0,a456b51c91928179676361b70564d8041bdb7e31d0b861529e0df8b31b2c34ea,607,-382
c521cb20-9a97-4882-8bc4-d19a54a19374,1726557234505,4475,1726557171153,1,5939,413278100f44b5b208d5ce5ba4e16a7d7110c665c4a6b657122aa5645f94c4de,1,4474
d449936a-21c8-4ea0-89dd-1b4419f3a2d4,1726557164089,100,1726557164089,1,0,2018426ffb059fe7916b69e0d89d025f5f77a6294271950eab914f91b1aa8076,199,-99
cac3dfe2-675e-4cd9-b8aa-df400d66e5ef,1726557156783,106,1726557155811,1,0,b8efd712154a3fdf1d68a16d64ec97f40fe50dbee8c792aae84bbfc3b2eefe31,288,-182
afd6c0fc-4820-427c-b4ab-dd4082a3e8ae,1726557148642,753,1726557114993,1,5850,8099a603c392b358109de6c97aadde2e8002d3e3ae240641077cc695eccbae1f,438,315
2c358785-444b-49f5-811c-f03f3293d5f8,1726557107919,122,1726557104604,1,0,bcd806e6c64b15e2860855e7337f5632befe124c7fd3cd1af64fd9f58107e667,332,-210
5143ef0d-854d-4c3e-962f-1461d7e7b3f9,1726557097276,215,1726557084518,1,0,7514c7de127a2125d78e6fac061c76677841f3b84b4a4f91d1d37a84b38013f6,203,12
033e3ef0-8434-4309-a992-9d43ceacaea4,1726557077192,278,1726557060151,1,0,bc88ec0d7dec9a1c8fb3748e081875e494d15ef5104e6fa5a7453b812cb42f78,126,152
2095ba33-c4a4-49ea-8592-812616f85096,1726557053094,100,1726557053094,1,0,fd5ee61f2bfe81dd2773ef744e66985394fb8203a2579c89f6d8f9c7a8f8c989,129,-29
93ae240c-8caf-47ec-8a17-83d266663c67,1726557045967,281,1726557028747,1,0,0cdfef608a13c8b96474a6050b6a6e686b5bf63ba387ff40bd785e6577bb4ddc,190,91
